day,day_start,baseline,threshold_value,start,end,duration_min,peak_pm,mean_pm
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 22:18:41-06:00,2020-10-29 22:28:42-06:00,10.016666666666667,32.3,31.435000000000006
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 22:32:41-06:00,2020-10-29 22:36:41-06:00,4.0,32.09,31.200000000000003
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 22:40:41-06:00,2020-10-29 22:46:41-06:00,6.0,32.67,31.942500000000003
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 22:50:41-06:00,2020-10-29 23:00:41-06:00,10.0,31.26,30.724999999999998
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 23:04:41-06:00,2020-10-29 23:14:41-06:00,10.0,32.16,30.84166666666667
2020-10-29,2020-10-29 00:00:00-06:00,19.68811111111111,29.53216666666666,2020-10-29 23:18:42-06:00,2020-10-29 23:58:41-06:00,39.983333333333334,33.75,31.543809523809518
2020-10-31,2020-10-31 00:00:00-06:00,18.538888888888888,27.80833333333333,2020-10-31 16:22:42-06:00,2020-10-31 16:26:42-06:00,4.0,28.95,28.663333333333327
2020-10-31,2020-10-31 00:00:00-06:00,18.538888888888888,27.80833333333333,2020-10-31 16:38:42-06:00,2020-10-31 16:42:42-06:00,4.0,28.27,28.176666666666666
2020-10-31,2020-10-31 00:00:00-06:00,18.538888888888888,27.80833333333333,2020-10-31 16:50:42-06:00,2020-10-31 23:58:42-06:00,428.0,45.61,35.203395348837205
2020-11-04,2020-11-04 00:00:00-07:00,10.0,15.0,2020-11-04 22:14:45-07:00,2020-11-04 22:16:45-07:00,2.0,39.04,39.04
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 09:42:46-07:00,2020-11-07 09:44:46-07:00,2.0,47.78,47.78
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 19:02:47-07:00,2020-11-07 19:40:46-07:00,37.983333333333334,119.61,42.48842105263159
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 20:18:46-07:00,2020-11-07 20:28:46-07:00,10.0,61.04,33.86
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 20:32:46-07:00,2020-11-07 20:34:46-07:00,2.0,15.19,15.19
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 20:36:46-07:00,2020-11-07 20:40:47-07:00,4.016666666666667,20.24,18.13
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 20:50:47-07:00,2020-11-07 21:08:46-07:00,17.983333333333334,61.46,42.93555555555557
2020-11-07,2020-11-07 00:00:00-07:00,10.0,15.0,2020-11-07 23:26:47-07:00,2020-11-07 23:36:47-07:00,10.0,35.52,25.934000000000005
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 16:54:47-07:00,2020-11-08 16:56:47-07:00,2.0,15.02,15.02
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 17:06:47-07:00,2020-11-08 17:08:47-07:00,2.0,21.21,21.21
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 17:12:47-07:00,2020-11-08 17:14:47-07:00,2.0,18.88,18.88
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 18:08:47-07:00,2020-11-08 18:26:47-07:00,18.0,93.4,47.63333333333333
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 20:50:47-07:00,2020-11-08 20:58:47-07:00,8.0,17.44,16.2425
2020-11-08,2020-11-08 00:00:00-07:00,10.0,15.0,2020-11-08 21:40:47-07:00,2020-11-08 22:00:47-07:00,20.0,108.23,61.484
2020-11-09,2020-11-09 00:00:00-07:00,10.0,15.0,2020-11-09 03:40:47-07:00,2020-11-09 03:56:47-07:00,16.0,44.07,30.06875
2020-11-09,2020-11-09 00:00:00-07:00,10.0,15.0,2020-11-09 19:20:48-07:00,2020-11-09 19:26:48-07:00,6.0,174.67,74.26666666666667
2020-11-09,2020-11-09 00:00:00-07:00,10.0,15.0,2020-11-09 19:28:48-07:00,2020-11-09 19:30:48-07:00,2.0,19.03,19.03
2020-11-10,2020-11-10 00:00:00-07:00,10.0,15.0,2020-11-10 01:44:48-07:00,2020-11-10 01:52:48-07:00,8.0,112.54,68.03750000000001
2020-11-10,2020-11-10 00:00:00-07:00,10.0,15.0,2020-11-10 01:54:48-07:00,2020-11-10 01:58:48-07:00,4.0,17.86,16.95
2020-11-10,2020-11-10 00:00:00-07:00,10.0,15.0,2020-11-10 05:38:48-07:00,2020-11-10 06:00:48-07:00,22.0,127.21,55.803636363636365
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 17:14:18-07:00,2020-11-11 17:16:18-07:00,2.0,18.32,18.32
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 17:56:18-07:00,2020-11-11 18:00:18-07:00,4.0,30.95,24.835
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 18:04:18-07:00,2020-11-11 18:08:18-07:00,4.0,15.54,15.399999999999999
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 18:30:18-07:00,2020-11-11 18:34:18-07:00,4.0,45.05,36.79
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 19:00:18-07:00,2020-11-11 19:10:18-07:00,10.0,31.4,23.988000000000003
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 20:08:18-07:00,2020-11-11 20:10:18-07:00,2.0,15.33,15.33
2020-11-11,2020-11-11 00:00:00-07:00,10.0,15.0,2020-11-11 20:14:18-07:00,2020-11-11 20:16:18-07:00,2.0,15.44,15.44
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 00:08:18-07:00,2020-11-12 00:24:18-07:00,16.0,32.29,23.32375
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 07:12:18-07:00,2020-11-12 07:24:18-07:00,12.0,26.51,21.17
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 07:44:18-07:00,2020-11-12 07:50:18-07:00,6.0,16.29,15.806666666666667
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 07:54:18-07:00,2020-11-12 07:56:18-07:00,2.0,15.54,15.54
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 07:58:18-07:00,2020-11-12 08:00:18-07:00,2.0,15.05,15.05
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 09:36:18-07:00,2020-11-12 10:04:18-07:00,28.0,25.75,19.135714285714283
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 10:06:18-07:00,2020-11-12 10:08:18-07:00,2.0,15.93,15.93
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 10:50:18-07:00,2020-11-12 10:52:18-07:00,2.0,15.18,15.18
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 17:06:19-07:00,2020-11-12 17:12:19-07:00,6.0,56.03,38.57666666666666
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 17:22:19-07:00,2020-11-12 17:34:19-07:00,12.0,79.48,40.14
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 19:22:19-07:00,2020-11-12 19:32:19-07:00,10.0,54.98,37.438
