day,day_start,baseline,threshold_value,n_events,median_duration_min,iqr_duration_min
2020-12-11,2020-12-11 00:00:00-07:00,10.0,15.0,8,3.0083333333333333,6.995833333333334
2020-12-12,2020-12-12 00:00:00-07:00,12.396333333333335,18.594500000000004,13,3.9833333333333334,10.0
2020-12-13,2020-12-13 00:00:00-07:00,10.0,15.0,18,2.0,2.0
2020-12-14,2020-12-14 00:00:00-07:00,10.0,15.0,5,6.0,4.0
2020-12-15,2020-12-15 00:00:00-07:00,10.0,15.0,16,5.008333333333333,10.0
2020-12-16,2020-12-16 00:00:00-07:00,11.350666666666665,17.025999999999996,2,421.9916666666667,393.9916666666666
2020-12-17,2020-12-17 00:00:00-07:00,38.611222222222224,57.91683333333334,1,48.0,0.0
2020-12-18,2020-12-18 00:00:00-07:00,10.0,15.0,9,4.0,4.0
2020-12-19,2020-12-19 00:00:00-07:00,10.0,15.0,9,10.0,14.0
2020-12-20,2020-12-20 00:00:00-07:00,21.94888888888889,32.92333333333334,14,7.0,8.5
2020-12-21,2020-12-21 00:00:00-07:00,27.336777777777783,41.005166666666675,35,4.0,9.0
2020-12-22,2020-12-22 00:00:00-07:00,10.0,15.0,19,4.0,6.008333333333333
2020-12-23,2020-12-23 00:00:00-07:00,12.077777777777778,18.116666666666667,5,6.0,6.0
2020-12-24,2020-12-24 00:00:00-07:00,30.28144444444444,45.422166666666655,24,5.008333333333333,11.5
2020-12-25,2020-12-25 00:00:00-07:00,36.33544444444445,54.50316666666667,11,2.0,17.0
2020-12-26,2020-12-26 00:00:00-07:00,10.0,15.0,8,6.0,12.5
2020-12-27,2020-12-27 00:00:00-07:00,10.0,15.0,21,6.0,10.0
2020-12-28,2020-12-28 00:00:00-07:00,10.0,15.0,6,2.0,1.5
2020-12-29,2020-12-29 00:00:00-07:00,10.0,15.0,8,6.0,3.0
2020-12-30,2020-12-30 00:00:00-07:00,10.0,15.0,1,4.0,0.0
2020-12-31,2020-12-31 00:00:00-07:00,10.0,15.0,7,4.0,7.008333333333333
2021-01-01,2021-01-01 00:00:00-07:00,10.0,15.0,14,7.0,11.504166666666666
2021-01-02,2021-01-02 00:00:00-07:00,10.995888888888889,16.493833333333335,6,12.016666666666667,32.483333333333334
2021-01-03,2021-01-03 00:00:00-07:00,22.512444444444444,33.76866666666667,14,3.0,4.0
2021-01-04,2021-01-04 00:00:00-07:00,24.089111111111116,36.13366666666667,0,,
2021-01-05,2021-01-05 00:00:00-07:00,10.0,15.0,4,5.008333333333333,1.9874999999999998
2021-01-06,2021-01-06 00:00:00-07:00,10.0,15.0,8,14.0,20.5
2021-01-07,2021-01-07 00:00:00-07:00,10.0,15.0,18,4.0,7.5
2021-01-08,2021-01-08 00:00:00-07:00,10.725333333333333,16.088,21,4.0,12.0
2021-01-09,2021-01-09 00:00:00-07:00,21.020555555555553,31.53083333333333,6,4.991666666666667,5.004166666666666
2021-01-10,2021-01-10 00:00:00-07:00,10.0,15.0,8,13.0,58.49583333333333
2021-01-11,2021-01-11 00:00:00-07:00,30.94144444444444,46.41216666666666,3,2.0,2.0
